block_size, sparsity, execution_time
8, 0.000000, 77544
8, 0.099976, 59376
8, 0.199951, 52498
8, 0.299927, 44806
8, 0.399902, 38174
8, 0.500000, 31668
8, 0.599976, 25410
8, 0.699951, 19141
8, 0.799927, 12805
8, 0.899902, 6494
16, 0.000000, 17188
16, 0.099609, 15103
16, 0.199707, 13262
16, 0.299805, 11644
16, 0.399902, 10000
16, 0.500000, 8351
16, 0.599609, 6726
16, 0.699707, 5090
16, 0.799805, 3445
16, 0.899902, 1797
32, 0.000000, 6182
32, 0.099609, 5584
32, 0.199219, 5007
32, 0.298828, 4393
32, 0.398438, 3826
32, 0.500000, 3188
32, 0.599609, 2584
32, 0.699219, 1980
32, 0.798828, 1374
32, 0.898438, 773
64, 0.000000, 3281
64, 0.097222, 2973
64, 0.194444, 2758
64, 0.298611, 2374
64, 0.395833, 2101
64, 0.500000, 1756
64, 0.597222, 1544
64, 0.694444, 1189
64, 0.798611, 871
64, 0.895833, 531
