block_size, sparsity, execution_time
8, 0.000000, 1014399
8, 0.099976, 845931
8, 0.199982, 846404
8, 0.299988, 658094
8, 0.399994, 566500
8, 0.500000, 470722
8, 0.599976, 443439
8, 0.699982, 282927
8, 0.799988, 189612
8, 0.899994, 95195
16, 0.000000, 256137
16, 0.099976, 228239
16, 0.199951, 201890
16, 0.299927, 219680
16, 0.399902, 173132
16, 0.500000, 134853
16, 0.599976, 100179
16, 0.699951, 75131
16, 0.799927, 49911
16, 0.899902, 25767
32, 0.000000, 96638
32, 0.099609, 84907
32, 0.199707, 78435
32, 0.299805, 67907
32, 0.399902, 58687
32, 0.500000, 48446
32, 0.599609, 38659
32, 0.699707, 29026
32, 0.799805, 19845
32, 0.899902, 10487
64, 0.000000, 50887
64, 0.099315, 48884
64, 0.198630, 43536
64, 0.299658, 44002
64, 0.398973, 37813
64, 0.500000, 31757
64, 0.599315, 25673
64, 0.698630, 19506
64, 0.799658, 13481
64, 0.898973, 7366
128, 0.000000, 46957
128, 0.097222, 42587
128, 0.194444, 37963
128, 0.298611, 33117
128, 0.395833, 28662
128, 0.500000, 23928
128, 0.597222, 19486
128, 0.694444, 15020
128, 0.798611, 10279
128, 0.895833, 5827
256, 0.000000, 39648
256, 0.083333, 36448
256, 0.194444, 32112
256, 0.277778, 28881
256, 0.388889, 24621
256, 0.500000, 20314
256, 0.583333, 17087
256, 0.694444, 12821
256, 0.777778, 9579
256, 0.888889, 5304
512, 0.000000, 33334
512, 0.000000, 33320
512, 0.125000, 29288
512, 0.250000, 25262
512, 0.375000, 21219
512, 0.500000, 17180
512, 0.500000, 17181
512, 0.625000, 13137
512, 0.750000, 9096
512, 0.875000, 5041
