block_size, sparsity, exeuction_time
8, 0.000000, 4421
8, 0.099998, 3979
8, 0.199997, 3571
8, 0.299999, 3126
8, 0.399998, 2665
8, 0.500000, 2232
8, 0.599998, 1798
8, 0.699997, 1377
8, 0.799999, 929
8, 0.899998, 510
16, 0.000000, 2208
16, 0.099991, 2014
16, 0.199997, 1785
16, 0.299988, 1563
16, 0.399994, 1360
16, 0.500000, 1141
16, 0.599991, 920
16, 0.699997, 707
16, 0.799988, 499
16, 0.899994, 278
32, 0.000000, 1145
32, 0.099976, 1035
32, 0.199951, 924
32, 0.299988, 812
32, 0.399963, 702
32, 0.500000, 605
32, 0.599976, 493
32, 0.699951, 390
32, 0.799988, 277
32, 0.899963, 175
