block_size, sparsity, execution_time
8, 0.000000, 206279
8, 0.097656, 172158
8, 0.199219, 138632
8, 0.296875, 117942
8, 0.398438, 100208
8, 0.500000, 87069
8, 0.597656, 70821
8, 0.699219, 51329
8, 0.796875, 35729
8, 0.898438, 19883
16, 0.000000, 65544
16, 0.093750, 63695
16, 0.187500, 52342
16, 0.296875, 51897
16, 0.390625, 39665
16, 0.500000, 36700
16, 0.593750, 28002
16, 0.687500, 23565
16, 0.796875, 16121
16, 0.890625, 10477
32, 0.000000, 35057
32, 0.062500, 33676
32, 0.187500, 29706
32, 0.250000, 28155
32, 0.375000, 27241
32, 0.500000, 22761
32, 0.562500, 20436
32, 0.687500, 15266
32, 0.750000, 13148
32, 0.875000, 7799
64, 0.000000, 39279
64, 0.000000, 39441
64, 0.000000, 39339
64, 0.250000, 30640
64, 0.250000, 30621
64, 0.500000, 21581
64, 0.500000, 20848
64, 0.500000, 21571
64, 0.750000, 11979
64, 0.750000, 11986
128, 0.000000, 38595
128, 0.000000, 34977
128, 0.000000, 32390
128, 0.000000, 32453
128, 0.000000, 32371
128, 0.000000, 32355
128, 0.000000, 31442
128, 0.000000, 31410
128, 0.000000, 31452
128, 0.000000, 32377
